"Código NCM";"Descrição NCM";"Unidade estatística"
"60063130";"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, acrílicos ou modacrílicos";"QUILOGRAMA LIQUIDO"
"60063190";"Outros tecidos de malha, de fibras sintéticas, crus ou branqueados, de outros tipos";"QUILOGRAMA LIQUIDO"
"60063200";"Outros tecidos de malha, de fibras sintéticas, tingidos";"QUILOGRAMA LIQUIDO"
"60063210";"Outros tecidos de malha, de fibras sintéticas, tintos, de náilon ou de outras poliamidas";"QUILOGRAMA LIQUIDO"
"60063220";"Outros tecidos de malha, de fibras sintéticas, tintos, de poliésteres";"QUILOGRAMA LIQUIDO"
"60063230";"Outros tecidos de malha, de fibras sintéticas, tintos, acrílicos ou modacrílicos";"QUILOGRAMA LIQUIDO"
"52064500";"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)";"QUILOGRAMA LIQUIDO"
"52071000";"Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão";"QUILOGRAMA LIQUIDO"
"52079000";"Outros fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho";"QUILOGRAMA LIQUIDO"
"52081100";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso não superior a 100 g/m2";"QUILOGRAMA LIQUIDO"
"52081200";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso superior a 100 g/m2";"QUILOGRAMA LIQUIDO"
"52081300";"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4";"QUILOGRAMA LIQUIDO"
"52081900";"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso não superior a 200 g/m2, crus";"QUILOGRAMA LIQUIDO"
"55092200";"Fio de fibras de poliésteres >= 85%, retorcido/retorcido múltiplo";"QUILOGRAMA LIQUIDO"
"55093100";"Fio de fibras acrílicas/modacrílicas >= 85%, simples";"QUILOGRAMA LIQUIDO"
"55093200";"Fio de fibras acrílicas/modacrílicas >= 85%, retorcido,  etc";"QUILOGRAMA LIQUIDO"
"55094100";"Fio de outras fibras sintéticas >= 85%, simples";"QUILOGRAMA LIQUIDO"
"55094200";"Fio de outras fibras sintéticas >=85%, retorcido/retorcido múltiplo";"QUILOGRAMA LIQUIDO"
"55095100";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com fibras artificiais descontínuas";"QUILOGRAMA LIQUIDO"
"55095200";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com lã ou pelos finos";"QUILOGRAMA LIQUIDO"
"55095300";"Fio de fibras de poliésteres, combinadas, principal ou unicamente, com algodão";"QUILOGRAMA LIQUIDO"
"55095900";"Outros fios de fibras de poliésteres";"QUILOGRAMA LIQUIDO"
"55096100";"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com lã ou pelos finos";"QUILOGRAMA LIQUIDO"
"55096200";"Fio de fibras acrílicas ou modacrílicas, combinadas, principal ou unicamente, com algodão";"QUILOGRAMA LIQUIDO"
"55096900";"Outros fios de fibras acrílicas ou modacrílicas";"QUILOGRAMA LIQUIDO"
"55099100";"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com lã ou pelos finos";"QUILOGRAMA LIQUIDO"
"55099200";"Fio de outras fibras sintéticas, combinados, principal ou unicamente, com algodão";"QUILOGRAMA LIQUIDO"
"55099900";"Outros fios de fibras sintéticas";"QUILOGRAMA LIQUIDO"
"55101100";"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples";"QUILOGRAMA LIQUIDO"
"55101111";"Fios que contenham pelo menos 85 %, em peso, de fibras artificiais descontínuas, simples, obtidos a partir de fibras de celulose, de raiom viscose, exceto modal";"QUILOGRAMA LIQUIDO"
"57023100";"Tapete, etc, de lã ou de pelos finos, aveludado, não confeccionado";"METRO QUADRADO"
"57023200";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, não confeccionado";"METRO QUADRADO"
"57023900";"Tapete, etc, de outras matérias têxteis, aveludado, não confeccionado";"METRO QUADRADO"
"57024100";"Tapete, etc, de lã ou pelos finos, aveludado, confeccionado";"METRO QUADRADO"
"57024200";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, aveludado, confeccionado";"METRO QUADRADO"
"57024900";"Tapete, etc, de outras matérias têxteis, aveludado, confeccionado";"METRO QUADRADO"
"57025010";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de lã ou de pelos finos";"METRO QUADRADO"
"57025020";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, de matérias têxteis sintéticas ou artificiais";"METRO QUADRADO"
"57025090";"Tapetes revestidos para pavimento, não aveludado, não confeccionado, outras matérias";"METRO QUADRADO"
"57025100";"Tapete, etc, de lã ou pelos finos, não aveludado, não confeccionado";"METRO QUADRADO"
"57025200";"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado";"METRO QUADRADO"
"57025900";"Tapete, etc, de outras matérias têxteis, não aveludado, não confeccionado";"METRO QUADRADO"
"57029100";"Tapete, etc, de lã ou de pelos finos, não aveludado, confeccionado";"METRO QUADRADO"
"57029200";"Tapete, etc, de matérias têxteis sintéticas ou artificiais, não aveludado, confeccionado";"METRO QUADRADO"
"57029900";"Tapete, etc, de outras matérias têxteis, não aveludado, confeccionado";"METRO QUADRADO"
"57031000";"Tapete/revestimento para pavimento, de lã ou de pelos finos, tufado";"METRO QUADRADO"
"48234000";"Papéis-diagrama para aparelhos registradores, em bobinas, em folhas ou em discos";"QUILOGRAMA LIQUIDO"
"48235100";"Papel/cartão para escrita, etc, impressos/estampados/perfurados";"QUILOGRAMA LIQUIDO"
"48235900";"Outros papéis/cartões para escrita/impressão/fins gráficos";"QUILOGRAMA LIQUIDO"
"72181000";"Aços inoxidáveis, em lingotes e outras formas primárias";"QUILOGRAMA LIQUIDO"
"72189100";"Produtos semimanufaturados, de aços inoxidáveis, seção transversal retangular";"QUILOGRAMA LIQUIDO"
"72189900";"Outros produtos semimanufaturados, de aços inoxidáveis";"QUILOGRAMA LIQUIDO"
"72191100";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura superior a 10 mm";"QUILOGRAMA LIQUIDO"
"72191200";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura igual ou superior a 4,75 mm, mas não superior a 10 mm";"QUILOGRAMA LIQUIDO"
"72191300";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura igual ou superior a 3 mm, mas inferior a 4,75 mm";"QUILOGRAMA LIQUIDO"
"72191400";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, em rolos, de espessura inferior a 3 mm";"QUILOGRAMA LIQUIDO"
"72192100";"Produtos laminados planos de aço inoxidável, de largura igual ou superior a 600 mm, simplesmente laminados a quente, não enrolados, de espessura superior a 10 mm";"QUILOGRAMA LIQUIDO"
"35069110";"Adesivos à base de borracha";"QUILOGRAMA LIQUIDO"
"35069120";"Adesivos à base de polímeros das posições 39.01 a 39.13, dispersos ou para dispersar em meio aquoso";"QUILOGRAMA LIQUIDO"
"35069190";"Outros adesivos à base de plásticos";"QUILOGRAMA LIQUIDO"
"65069100";"Outros chapéus e artefatos de uso semelhante, mesmo guarnecidos, de borracha ou de plástico";"QUILOGRAMA LIQUIDO"
"65069200";"Chapéus e outros artefatos de peleteria natural";"QUILOGRAMA LIQUIDO"
"65069900";"Outros chapéus e artefatos de uso semelhante, mesmo guarnecidos, de outras matérias";"QUILOGRAMA LIQUIDO"
"65070000";"Carneiras, forros, capas, armações, palas e barbicachos, para chapéus e artefatos de uso semelhante";"QUILOGRAMA LIQUIDO"
"66011000";"Guarda-sóis de jardim e artefatos semelhantes";"NUMERO (UNIDADE)"
"66019110";"Guarda-chuvas de haste ou cabo telescópico, cobertos de tecido de seda ou de matérias têxteis sintéticas ou artificiais";"NUMERO (UNIDADE)"
"66019190";"Outros guarda-chuvas, sombrinhas, de haste ou cabo telescópico";"NUMERO (UNIDADE)"
"66019900";"Outros guarda-chuvas, sombrinhas e guarda-sóis";"NUMERO (UNIDADE)"
"66020000";"Bengalas, bengalas-assentos, chicotes, pingalins e artefatos semelhantes";"NUMERO (UNIDADE)"
"66031000";"Punhos, cabos e castões para guarda-chuvas, sombrinhas,  etc.";"QUILOGRAMA LIQUIDO"
"66032000";"Armações montadas, mesmo com hastes ou cabos, para guarda-chuvas, sombrinhas ou guarda-sóis";"QUILOGRAMA LIQUIDO"
"66039000";"Outras partes, guarnições e acessórios para guarda-chuvas, etc.";"QUILOGRAMA LIQUIDO"
"67010000";"Peles e outras partes de aves, com as suas penas ou penugem, penas, partes de penas, penugem e artefatos destas matérias, exceto os produtos da posição 05.05, bem como os cálamos e outros canos de penas, trabalhados";"QUILOGRAMA LIQUIDO"
"67021000";"Flores, folhagem e frutos, artificiais, e suas partes; artefatos confeccionados com flores, folhagem e frutos, artificiais, de plástico";"QUILOGRAMA LIQUIDO"
"67029000";"Flores, folhagem e frutos, artificiais, e suas partes; artefatos confeccionados com flores, folhagem e frutos, artificiais, de outras matérias";"QUILOGRAMA LIQUIDO"
"67030000";"Cabelos dispostos no mesmo sentido, adelgaçados, branqueados ou preparados de outro modo; lã, pelos e outras matérias têxteis, preparados para a fabricação de perucas ou de artefatos semelhantes";"QUILOGRAMA LIQUIDO"
"70195210";"Tecidos de fibras de vidro, com um teor de matéria orgânica superior ou igual a 0,075 % e inferior ou igual a 0,3 %, em peso, segundo Norma ANSI/IPC-EG-140, próprios para fabricação de placas para circuitos impressos";"QUILOGRAMA LIQUIDO"
"70195290";"Outros tecidos de fibras de vidro, de largura superior a 30 cm, em ponto de tafetá, com peso inferior a 250 g/m2, de filamentos de título não superior a 136 tex, por fio simples";"QUILOGRAMA LIQUIDO"
"70195900";"Outros tecidos de fibras de vidro";"QUILOGRAMA LIQUIDO"
"70199000";"Outras fibras de vidro e suas obras";"QUILOGRAMA LIQUIDO"
"70199010";"Outras fibras com fios paralelos e superpostos ângulo 90º 3>= d <= 7 fios cm2";"QUILOGRAMA LIQUIDO"
"70199090";"Outras fibras de vidro e suas obras";"QUILOGRAMA LIQUIDO"
"70200000";"Outras obras de vidro";"QUILOGRAMA LIQUIDO"
"70200010";"Ampolas de vidro para garrafa térmica, outros recipientes isotérmicos";"QUILOGRAMA LIQUIDO"
"70200090";"Outras obras de vidro não especificadas";"QUILOGRAMA LIQUIDO"
"71011000";"Pérolas naturais, não montadas, nem engastadas";"GRAMA LIQUIDO"
"71012100";"Pérolas cultivadas, em bruto, não montadas, nem engastadas";"GRAMA LIQUIDO"
"71012200";"Pérolas cultivadas, trabalhadas, não montadas, não engastadas";"GRAMA LIQUIDO"
"71021000";"Diamantes, mesmo trabalhados, mas não montados nem engastados, não selecionados";"QUILATE"
"71022100";"Diamantes industriais, em bruto ou simplesmente serrados, clivados ou desbastados";"QUILATE"
"71022900";"Outros diamantes industriais, não montados, nem engastados";"QUILATE"
"30043914";"Medicamento contendo corticotropina (ACTH), em doses";"QUILOGRAMA LIQUIDO"
"30043915";"Medicamento contendo gonadotropina sérica (PMSG), em doses";"QUILOGRAMA LIQUIDO"
"30043917";"Medicamento contendo buserelina ou seu acetato, em doses";"QUILOGRAMA LIQUIDO"
"30043918";"Medicamento contendo triptorelina ou seus sais, em doses";"QUILOGRAMA LIQUIDO"
"30043919";"Medicamento contendo leuprolida ou seu acetato, em doses";"QUILOGRAMA LIQUIDO"
"30043921";"Medicamento contendo LH-RH (gonadorelina), em doses";"QUILOGRAMA LIQUIDO"
"30043922";"Medicamento contendo oxitocina, em doses";"QUILOGRAMA LIQUIDO"
"30043923";"Medicamento contendo sais de insulina, em doses";"QUILOGRAMA LIQUIDO"
"30043924";"Medicamento contendo timosinas, em doses";"QUILOGRAMA LIQUIDO"
"30043925";"Medicamento contendo calcitonina, em doses";"QUILOGRAMA LIQUIDO"
"30043926";"Medicamento contendo octreotida, em doses";"QUILOGRAMA LIQUIDO"
"30043927";"Medicamento contendo goserelina ou seu acetato, em doses";"QUILOGRAMA LIQUIDO"
"30043916";"Medicamento contendo somatostatina ou seus sais, em doses";"QUILOGRAMA LIQUIDO"
"30043928";"Medicamento contendo nafarelina ou seu acetato, em doses";"QUILOGRAMA LIQUIDO"
"30043929";"Medicamentos com outros hormônios polipeptídicos, etc, em doses";"QUILOGRAMA LIQUIDO"
"30043931";"Medicamento contendo hemissuccinato de estradiol, em doses";"QUILOGRAMA LIQUIDO"
"32099011";"Tintas de politetrafluoretileno, dispersas/dissolvidas em meio aquoso";"QUILOGRAMA LIQUIDO"
"32099019";"Tintas de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio aquoso";"QUILOGRAMA LIQUIDO"
"32099020";"Vernizes de outros polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso";"QUILOGRAMA LIQUIDO"
"32100010";"Outras tintas, dos tipos utilizados para acabamento de couros";"QUILOGRAMA LIQUIDO"
"35040090";"Outras matérias proteicas, seus derivados e pó de peles";"QUILOGRAMA LIQUIDO"
"32089039";"Outras soluções de polímeros sintéticos, etc, dispersos/dissolvidos em meio não aquoso";"QUILOGRAMA LIQUIDO"
"32091010";"Tintas de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso";"QUILOGRAMA LIQUIDO"
"32091020";"Vernizes de polímeros acrílicos/vinílicos, dispersos/dissolvidos em meio aquoso";"QUILOGRAMA LIQUIDO"
"38081021";"Inseticida à base de acefato/""Bacillus thuringiensis""";"QUILOGRAMA LIQUIDO"
"38081022";"Inseticida à base de cipermetrinas ou de permetrina";"QUILOGRAMA LIQUIDO"
"38081023";"Inseticida à base de monocrotofos ou de dicrotofos";"QUILOGRAMA LIQUIDO"
"38081024";"Inseticida à base de dissulfoton ou de endossulfan";"QUILOGRAMA LIQUIDO"
"38081025";"Inseticida à base de fosfeto de alumínio";"QUILOGRAMA LIQUIDO"
"38081026";"Inseticida à base de triclorfon ou de diclorvos";"QUILOGRAMA LIQUIDO"
"38081027";"Inseticida à base de oleo mineral";"QUILOGRAMA LIQUIDO"
"38081028";"Inseticida à base de sulfluramida";"QUILOGRAMA LIQUIDO"
"38081029";"Outros inseticidas apresentados de outro modo";"QUILOGRAMA LIQUIDO"
"38082010";"Fungicidas para uso domissanitário direto";"QUILOGRAMA LIQUIDO"
"87083090";"Outros freios e partes, para tratores/veículos automóveis";"NUMERO (UNIDADE)"
"87083110";"Guarnições de freios montadas para ""dumpers"" e tratores";"NUMERO (UNIDADE)"
"87083190";"Guarnições de freios montadas para outros veiculos automóveis";"NUMERO (UNIDADE)"
"87083900";"Outros freios e suas partes, para tratores/veículos automóveis";"NUMERO (UNIDADE)"
"87084010";"Caixas de marchas para ""dumpers""/tratores, exceto rodoviários";"NUMERO (UNIDADE)"
"87084011";"Servo-assistidas, próprias para torques de entrada superiores ou iguais a 750 Nm, de tratores/""dumpers""";"NUMERO (UNIDADE)"
"87084019";"Outras caixas de marchas para tratores ou ""dumpers""";"NUMERO (UNIDADE)"
"87084080";"Outras caixas de marchas";"NUMERO (UNIDADE)"
"87084090";"Partes de caixas de marchas";"NUMERO (UNIDADE)"
"87085010";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"NUMERO (UNIDADE)"
"87085011";"Eixos com diferencial com capacidade de suportar cargas superiores ou iguais a 14.000 kg, redutores planetários nos extremos e dispositivo de freio incorporado, do tipo dos utilizados em veículos da subposição 8704.10";"NUMERO (UNIDADE)"
"87085012";"Eixos e partes, exceto de transmissão, para tratores/""dumpers""";"NUMERO (UNIDADE)"
"87085019";"Eixos de transmissão com diferencial para ""dumpers""/tratores";"NUMERO (UNIDADE)"
"87085080";"Eixos de transmissão com diferencial para veículos automóveis";"NUMERO (UNIDADE)"
"90183922";"Cateteres de poli(cloreto de vinila), para embolectomia arterial";"NUMERO (UNIDADE)"
"90183923";"Cateteres de poli(cloreto de vinila), para termodiluição";"NUMERO (UNIDADE)"
"90183924";"Cateteres intravenosos periféricos, de poliuretano ou de copolímero de etileno-tetrafluoretileno (ETFE)";"NUMERO (UNIDADE)"
"90183929";"Outras sondas, catéteres e cânulas";"NUMERO (UNIDADE)"
"29398090";"Outros alcalóides, naturais ou reproduzidos por síntese, seus sais, éteres, ésteres e outros derivados";"QUILOGRAMA LIQUIDO"
