"Sigla";"Nome"
"PE";"Pernambuco"
"MT";"Mato Grosso"
"PI";"Piauí"
"ND";"Não Declarada"
"MS";"Mato Grosso do Sul"
"PB";"Paraíba"
"PA";"Pará"
"RE";"Reexportação"
"AP";"Amapá"
"PR";"Paraná"
"ZN";"Zona Não Declarada"
"RN";"Rio Grande do Norte"
"RR";"Roraima"
"GO";"Goiás"
"TO";"Tocantins"
"EX";"Exterior"
"ES";"Espírito Santo"
"CB";"Consumo de Bordo"
"CE";"Ceará"
"BA";"Bahia"
"MG";"Minas Gerais"
"SP";"São Paulo"
"MA";"Maranhão"
"RO";"Rondônia"
"DF";"Distrito Federal"
"AC";"Acre"
"MN";"Mercadoria Nacionalizada"
"SE";"Sergipe"
"ED";"Estados Diversos - Café"
"RJ";"Rio de Janeiro"
"AL";"Alagoas"
"SC";"Santa Catarina"
"RS";"Rio Grande do Sul"
"AM";"Amazonas"
